ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Land Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Surface,Kitchen,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Terrace Orientation,Garden Exists,Garden Surface,Garden Orientation,Swimming Pool,State of Building,Living Surface,EPC,Cadastral Income,Has starting Price,Transaction Subtype,Heating Type,Is Holiday Property,Gas Water Electricity,Sewer,Sea view,Parking count inside,Parking count outside,url
11135597,Uccle,1180,1991,4,350,1459,HOUSE,VILLA,2950000,NORMAL_SALE,5,5,6,16,25,True,HYPER_EQUIPPED,False,False,,True,50,,True,1125,,False,AS_NEW,70,D,7545,False,BUY_REGULAR,GAS,,True,CONNECTED,,3,3,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/11135597
10788682,Uccle,1180,,4,1813,7500,HOUSE,HOUSE,8750000,NORMAL_SALE,7,7,7,21,,True,INSTALLED,False,True,1,False,,,False,,,True,AS_NEW,,G,0,False,BUY_REGULAR,GAS,,False,CONNECTED,,5,1,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10788682
10452091,Bruxelles,1000,1910,2,1950,900,HOUSE,APARTMENT_BLOCK,8000000,NORMAL_SALE,0,,,,,False,,False,True,1,False,,,False,,,False,GOOD,,,0,False,BUY_REGULAR,GAS,,True,NOT_CONNECTED,,,22,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1000/10452091
10523353,Ixelles,1050,1920,2,1900,900,HOUSE,EXCEPTIONAL_PROPERTY,6700000,NORMAL_SALE,10,3,10,23,25,True,INSTALLED,False,True,1,True,30,,True,900,,True,AS_NEW,,E,8891,False,BUY_REGULAR,GAS,,True,CONNECTED,,,5,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10523353
10630603,Saint-Gilles,1060,1920,2,1687,880,HOUSE,MANSION,6700000,NORMAL_SALE,10,,3,13,,False,,False,False,,True,,,True,880,,False,GOOD,,,0,False,BUY_REGULAR,,,,,,4,28,https://www.immoweb.be/en/classified/house/for-sale/Saint-Gilles/1060/10630603
11072887,Bruxelles,1050,1927,2,950,502,HOUSE,MANSION,8500000,NORMAL_SALE,6,3,,9,,False,,False,True,1,True,1,,True,1,,False,TO_RENOVATE,,,0,False,BUY_REGULAR,,,True,CONNECTED,,1,1,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1050/11072887
11154047,Ville de Bruxelles,1000,,,,0,HOUSE,APARTMENT_BLOCK,7300000,NORMAL_SALE,24,,,24,,False,,False,False,,False,,,False,,,False,TO_RESTORE,,,0,False,BUY_REGULAR,,,False,,,,,https://www.immoweb.be/en/classified/house/for-sale/Ville-de-Bruxelles/1000/11154047
11077810,Bruxelles,1000,,2,,0,HOUSE,MIXED_USE_BUILDING,22500000,NORMAL_SALE,0,,,,,False,,False,False,,False,,,False,,,,AS_NEW,,,0,False,BUY_REGULAR,,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1000/11077810
10953495,Ixelles,1050,1920,2,1687,0,HOUSE,HOUSE,6700000,NORMAL_SALE,10,,3,13,,False,,False,False,,True,,,True,880,,False,GOOD,,,0,False,BUY_REGULAR,,,,,,,5,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10953495
11005999,Ixelles,1050,1920,2,1650,900,HOUSE,MIXED_USE_BUILDING,6700000,NORMAL_SALE,22,,,22,,False,,False,False,,True,,,False,,,,,,,8891,False,BUY_REGULAR,,,,,,2,5,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/11005999
11037413,Ixelles,1050,1986,4,1350,560,HOUSE,APARTMENT_BLOCK,6400000,NORMAL_SALE,27,27,2,56,,True,USA_HYPER_EQUIPPED,True,False,,True,495,,True,40,,False,AS_NEW,60,F,0,False,BUY_REGULAR,ELECTRIC,,,CONNECTED,,,14,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/11037413
10529467,St-Gilles,1060,1920,3,1900,900,HOUSE,MANSION,6700000,NORMAL_SALE,24,3,10,37,,False,,False,True,1,False,,,False,,,,AS_NEW,,G,8891,False,BUY_REGULAR,GAS,False,True,CONNECTED,,4,5,https://www.immoweb.be/en/classified/house/for-sale/St-Gilles/1060/10529467
11168955,Saint-Josse-ten-Noode,1210,,2,3255,0,HOUSE,MANSION,6000000,NORMAL_SALE,10,,,10,,False,,False,False,,False,,,False,,,,TO_RENOVATE,,E,0,False,BUY_REGULAR,,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Saint-Josse-ten-Noode/1210/11168955
11037414,Bruxelles,1000,1986,4,1350,560,HOUSE,APARTMENT_BLOCK,6400000,NORMAL_SALE,27,27,2,56,,True,USA_HYPER_EQUIPPED,True,False,,True,495,,True,40,,False,AS_NEW,60,F,0,False,BUY_REGULAR,ELECTRIC,,,CONNECTED,,,14,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1000/11037414
11016328,Saint-Gilles,1060,1910,2,1994,900,HOUSE,EXCEPTIONAL_PROPERTY,6700000,NORMAL_SALE,10,,,10,,False,,False,False,,True,,,False,,,,AS_NEW,,,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,,5,https://www.immoweb.be/en/classified/house/for-sale/Saint-Gilles/1060/11016328
