bathroom_count,bedroom_count,build_year,cadastral_income,consumption_per_m2,epc,fireplace_count,fireplace_exists,furnish_exists,garden_exists,garden_orientation,garden_surface,gas_water_electricity_exists,habitable_surface,has_starting_price,heating_type,immoweb_id,is_holiday_property,kitchen_exists,kitchen_surface,kitchen_type,land_surface,living_surface,location,parking_box_count,parking_count_inside,parking_count_outside,postal_code,price,property_type,room_count,sale_type,sea_view_exists,sewer_exists,state_of_building,subtype,swimming_pool,terrace_exists,terrace_orientation,terrace_surface,toilet_count,transaction_subtype,url,wall_count
,2,,0,81,A,,False,False,False,,,,,False,,11034284,,False,,,,,Gent,,,,9000,9999999,APARTMENT,2,NORMAL_SALE,,,,APARTMENT,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Gent/9000/11034284,4
5,5,2011,5328,127,B,,False,False,False,,,True,700,False,,11143668,,False,,,60086,,Kruisem,,2,,9770,8500000,HOUSE,10,NORMAL_SALE,,CONNECTED,GOOD,MANOR_HOUSE,True,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Kruisem/9770/11143668,4
,0,2020,0,,A,,False,False,False,,,True,,False,,10441365,,False,,,0,,Lokeren,,,,9160,4700000,HOUSE,,NORMAL_SALE,,CONNECTED,GOOD,APARTMENT_BLOCK,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Lokeren/9160/10441365,2
,0,,150,,,,False,False,True,,1050,False,1050,False,,11027949,,False,,,1050,,Evergem,,,,9940,9999999,HOUSE,,NORMAL_SALE,,,,HOUSE,False,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Evergem/9940/11027949,3
,200,2024,0,,,-1,True,False,False,,,,,False,,11090003,,False,,,,,Ronse,,150,,9600,5500000,APARTMENT,200,NORMAL_SALE,,,GOOD,APARTMENT,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Ronse/9600/11090003,4
4,6,,5341,127,B,1,True,False,False,,,,826,,GAS,11151852,,False,,,61801,,Kruisem,,1,1,9770,8500000,HOUSE,16,NORMAL_SALE,,CONNECTED,JUST_RENOVATED,VILLA,True,True,SOUTH,,6,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Kruisem/9770/11151852,4
2,3,1935,322,152,B,,False,False,False,,,True,170,False,GAS,11141950,,True,,INSTALLED,170,,Eeklo,,,,9900,329000,HOUSE,5,NORMAL_SALE,,CONNECTED,,HOUSE,False,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Eeklo/9900/11141950,2
,200,2024,0,,,-1,True,False,False,,,False,,False,,11090004,,False,,,17000,,Ronse,,150,,9600,5500000,HOUSE,200,NORMAL_SALE,,,GOOD,MIXED_USE_BUILDING,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Ronse/9600/11090004,4
,35,,23685,139,B,,False,False,False,,,,,False,GAS,11096442,,False,,,,,Aalter,,17,,9910,4235000,APARTMENT,35,NORMAL_SALE,,,,APARTMENT,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Aalter/9910/11096442,
3,16,1881,0,596,F,1,True,False,False,,,True,875,False,FUELOIL,11114228,,False,,,85349,,Heusden,,2,,9070,2950000,HOUSE,19,NORMAL_SALE,,CONNECTED,GOOD,CASTLE,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Heusden/9070/11114228,4
,30,,0,139,B,,False,False,False,,,True,,False,GAS,10661999,,False,,,6014,,Knesselare,,17,15,9910,4235000,HOUSE,30,NORMAL_SALE,,,,EXCEPTIONAL_PROPERTY,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Knesselare/9910/10661999,4
2,6,1810,2887,708,A++,1,True,False,False,,,True,967,False,FUELOIL,10909675,,False,,,101349,,Waasmunster,,,,9250,3000000,HOUSE,8,NORMAL_SALE,,CONNECTED,GOOD,CASTLE,True,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Waasmunster/9250/10909675,4
16,16,,0,,,,False,False,False,,,,1085,False,,11155098,,False,,,0,,Haaltert Denderhoutem,,,,9450,3295000,HOUSE,32,NORMAL_SALE,,,TO_RENOVATE,APARTMENT_BLOCK,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Haaltert-Denderhoutem/9450/11155098,2
3,7,1964,0,581,F,,False,False,True,SOUTH,26800,,527,False,FUELOIL,10763824,,True,,INSTALLED,26765,,Destelbergen,,2,10,9070,2950000,HOUSE,10,NORMAL_SALE,,,TO_BE_DONE_UP,VILLA,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Destelbergen/9070/10763824,
2,5,2015,0,72,A,,False,False,False,,,True,362,False,,10209503,,True,,HYPER_EQUIPPED,6585,,Sint-Niklaas Belsele,,2,2,9111,3750000,HOUSE,11,NORMAL_SALE,,,AS_NEW,HOUSE,,True,,,4,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Sint-Niklaas-Belsele/9111/10209503,4
24,44,2003,1,83,A,,False,False,False,,,,1898,False,GAS,10610005,,False,15,,,,Sint-Niklaas,,,,9100,3700000,APARTMENT,68,NORMAL_SALE,,,,APARTMENT,False,True,,136,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Sint-Niklaas/9100/10610005,2
5,6,1972,5461,143,B,,False,False,False,,,True,1238,False,GAS,10720241,,True,50,HYPER_EQUIPPED,9490,105,Sint-Niklaas Belsele,,1,10,9111,2495000,HOUSE,21,NORMAL_SALE,,,AS_NEW,VILLA,,True,,135,10,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Sint-Niklaas-Belsele/9111/10720241,4
,0,,6392,444,E,-1,True,False,False,,,False,363,False,GAS,10639638,,True,,NOT_INSTALLED,1266,,Gent,,,,9000,2400000,HOUSE,,NORMAL_SALE,,,TO_BE_DONE_UP,APARTMENT_BLOCK,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/10639638,2
4,4,,1402,373,D,,False,False,False,,,True,623,False,FUELOIL,10925641,,False,,,17318,,Lede,,,10,9340,2450000,HOUSE,15,NORMAL_SALE,,CONNECTED,GOOD,VILLA,True,True,,,7,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Lede/9340/10925641,4
,8,1956,0,,,,False,False,False,,,,,False,,10969726,,False,,,,,Gent,,,,9000,2495000,APARTMENT,8,NORMAL_SALE,,,GOOD,APARTMENT,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Gent/9000/10969726,
,0,1979,15121,,,,False,False,False,,,,532,False,,10765417,,False,,,,,Gent,,,,9000,2540000,APARTMENT,,NORMAL_SALE,,,GOOD,PENTHOUSE,,True,,182,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Gent/9000/10765417,4
2,4,,0,229,C,,False,False,False,,,True,644,False,,11046104,,False,,,329,,Gent,,1,,9000,2450000,HOUSE,6,NORMAL_SALE,,CONNECTED,GOOD,HOUSE,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/11046104,4
2,3,,0,453,E,,False,False,False,,,,316,False,,11063372,,False,,,191,,Gent,,,,9000,2550000,HOUSE,7,NORMAL_SALE,,CONNECTED,,MANOR_HOUSE,,False,,,2,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/11063372,
4,4,2023,0,,,,False,False,False,,,,420,False,,11136153,,False,,,,,Gent,,,4,9000,2670000,APARTMENT,12,NORMAL_SALE,,,GOOD,PENTHOUSE,,True,,170,4,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Gent/9000/11136153,
1,4,1955,2616,580,F,,False,False,False,,,True,254,False,FUELOIL,10884937,,False,,,4555,,Deurle,,2,3,9831,2790000,HOUSE,5,NORMAL_SALE,,CONNECTED,GOOD,HOUSE,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Deurle/9831/10884937,4
2,3,1910,1499,121,B,,False,False,False,,,True,304,False,GAS,11073737,,False,,,1739,2,Sint-Martens-Latem,,,3,9831,2690000,HOUSE,7,NORMAL_SALE,,CONNECTED,GOOD,VILLA,,True,,,2,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Sint-Martens-Latem/9831/11073737,4
2,3,,0,453,E,1,True,False,True,,135,True,316,False,GAS,10953732,,False,,,192,,Gent,,,2,9000,2550000,HOUSE,8,NORMAL_SALE,,CONNECTED,,HOUSE,,False,,,3,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/10953732,2
